,raw_words,task,quadruples
10,"Intriguing , informative and intellectual , Sid brings to life the multifaceted enemy of cancer as well as the enemy of public perception .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 4, 'to': 5, 'term': ['intellectual']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Intriguing']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 2, 'to': 3, 'term': ['informative']}, 'sentiment': 'POS'}]"
11,The pacing is a bit choppy .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['pacing']}, 'category': 'Book#Quality', 'opinion': {'from': 3, 'to': 6, 'term': ['a', 'bit', 'choppy']}, 'sentiment': 'NEG'}]"
12,"This really is not worth the effort , the Frontier feminism , and the Speck culture are interesting , but slight .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 5, 'term': ['not', 'worth']}, 'sentiment': 'NEG'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 17, 'to': 18, 'term': ['interesting']}, 'sentiment': 'POS'}]"
13,This impulse buy turned out to be one of the best i could have made .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 10, 'to': 11, 'term': ['best']}, 'sentiment': 'POS'}]"
14,"The characters are so-so , the back story of the characters is very blah ( because of the co-mingling of their fates - seriously , it 's like a red-neck family feud set in Egypt ) .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': 3, 'to': 4, 'term': ['so-so']}, 'sentiment': 'NEU'}, {'aspect': {'from': 6, 'to': 11, 'term': ['back', 'story', 'of', 'the', 'characters']}, 'category': 'Content#Characters', 'opinion': {'from': 12, 'to': 14, 'term': ['very', 'blah']}, 'sentiment': 'NEG'}]"
15,"I 've been a Feist fan for YEARS , and I hate to see it coming to an end if the rumors are true .",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['Feist']}, 'category': 'Book#Author', 'opinion': {'from': 5, 'to': 6, 'term': ['fan']}, 'sentiment': 'POS'}]"
16,I love seeing Peter Decker and Rina again on this mytery book .,ACOS,"[{'aspect': {'from': 3, 'to': 5, 'term': ['Peter', 'Decker']}, 'category': 'Content#Characters', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 7, 'term': ['Rina']}, 'category': 'Content#Characters', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}]"
17,I had high hopes for Faye Kellerman 's latest publication but the promise far exceeded the reality .,ACOS,"[{'aspect': {'from': 5, 'to': 10, 'term': ['Faye', 'Kellerman', ""'s"", 'latest', 'publication']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
18,Raymond Feist can not write fast enough for me .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 3, 'to': 6, 'term': ['not', 'write', 'fast']}, 'sentiment': 'NEU'}]"
19,Well written and fast read .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['read']}, 'category': 'Book#Quality', 'opinion': {'from': 0, 'to': 1, 'term': ['Well']}, 'sentiment': 'POS'}]"
20,It is the first book of such extraordinary scope regarding cancer .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 7, 'to': 8, 'term': ['extraordinary']}, 'sentiment': 'POS'}]"
21,"It now seems to be the done thing to slate this particular book at every opportunity but I ca n't help it , I enjoyed that book and also some of the ones that were published on the back of it 's success.This book however is a little different and concentrates on the greed of treasure hunter 's , rather than a race against time to save the world from imminent disaster .",ACOS,"[{'aspect': {'from': 26, 'to': 27, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 24, 'to': 25, 'term': ['enjoyed']}, 'sentiment': 'POS'}]"
22,"The author is a great storyteller , and he successfully breaks down a technical subject into interesting easy-to-understand anecdotes .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['author']}, 'category': 'Book#Author', 'opinion': {'from': 4, 'to': 5, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 9, 'to': 10, 'term': ['successfully']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 17, 'to': 18, 'term': ['easy-to-understand']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 16, 'to': 17, 'term': ['interesting']}, 'sentiment': 'POS'}]"
23,"My wife , Mother in Law & sister in law all read this book & found it disturbing .",ACOS,"[{'aspect': {'from': 13, 'to': 14, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 17, 'to': 18, 'term': ['disturbing']}, 'sentiment': 'NEG'}]"
24,"I am a big fan of the Assassin books , and also ( mostly ) liked the Liveship series by Robin Hobb .",ACOS,"[{'aspect': {'from': 7, 'to': 9, 'term': ['Assassin', 'books']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 5, 'term': ['big', 'fan']}, 'sentiment': 'POS'}, {'aspect': {'from': 17, 'to': 22, 'term': ['Liveship', 'series', 'by', 'Robin', 'Hobb']}, 'category': 'Book#General', 'opinion': {'from': 15, 'to': 16, 'term': ['liked']}, 'sentiment': 'POS'}]"
25,It 's confusing trying to keep track of both murders .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 2, 'to': 3, 'term': ['confusing']}, 'sentiment': 'NEG'}]"
26,"If you own a restaurant , or you follow Gordon through his carious Tv shows , I recommend his book .",ACOS,"[{'aspect': {'from': 19, 'to': 20, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 17, 'to': 18, 'term': ['recommend']}, 'sentiment': 'POS'}]"
27,I have been hooked on Midkemia since Magician was first published and I am a loyal fan of Pug and Tomas .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['Midkemia']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['hooked']}, 'sentiment': 'POS'}]"
28,The whole saga is almost over and I can not wait for the last book !,ACOS,"[{'aspect': {'from': 13, 'to': 15, 'term': ['last', 'book']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
29,I fully recommend reading the series .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['series']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 3, 'term': ['fully', 'recommend']}, 'sentiment': 'POS'}]"
30,"Even if you cut the book by half or two-thirds , it would still be slow and boring.I would not recommend this book to anyone .",ACOS,"[{'aspect': {'from': 22, 'to': 23, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 19, 'to': 21, 'term': ['not', 'recommend']}, 'sentiment': 'NEG'}, {'aspect': {'from': 5, 'to': 6, 'term': ['book']}, 'category': 'Content#Plot', 'opinion': {'from': 15, 'to': 16, 'term': ['slow']}, 'sentiment': 'NEG'}, {'aspect': {'from': 5, 'to': 6, 'term': ['book']}, 'category': 'Content#Plot', 'opinion': {'from': 17, 'to': 18, 'term': ['boring.I']}, 'sentiment': 'NEG'}]"
31,"It is better if you allow it to unravel for you as you read this tale.Lackberg writes effortlessly , the relationships between her characters build throughout the novels as the tension builds in each and every book.Another great read .",ACOS,"[{'aspect': {'from': 38, 'to': 39, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 37, 'to': 38, 'term': ['great']}, 'sentiment': 'POS'}]"
32,"This suspenseful , entertaining mystery begins as a commuter plane crashes into an apartment house in California 's West San Fernando Valley , not far from the Deckers ' house , and bursts into flames .",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['mystery']}, 'category': 'Content#Plot', 'opinion': {'from': 3, 'to': 4, 'term': ['entertaining']}, 'sentiment': 'POS'}]"
33,"Yes , the reader is aware of what the main characters are doing almost simultaneously , but it jumps around too much for my taste , particularly toward the end of the book .",ACOS,"[{'aspect': {'from': 29, 'to': 30, 'term': ['end']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
34,Maybe a four-year old might not catch such a mind-bending coincidence such as lurks in these pages .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
35,"An oxymoron , yes , but still true nonetheless .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 1, 'to': 2, 'term': ['oxymoron']}, 'sentiment': 'NEG'}]"
36,There is so much history in all of the Riftwar Cycle as it is now being called that the storyline tends to jump back and forth and is slightly hard to follow .,ACOS,"[{'aspect': {'from': 19, 'to': 20, 'term': ['storyline']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}, {'aspect': {'from': 19, 'to': 20, 'term': ['storyline']}, 'category': 'Content#Plot', 'opinion': {'from': 28, 'to': 30, 'term': ['slightly', 'hard']}, 'sentiment': 'NEG'}]"
37,More please !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
38,"I love the character of McRae too much to stop reading , so I 'm hoping that MacBride will be kinder to him in the next book ! Despite my negative reactions I found Dark Blood to be another excellent book in this series .",ACOS,"[{'aspect': {'from': 3, 'to': 6, 'term': ['character', 'of', 'McRae']}, 'category': 'Content#Characters', 'opinion': {'from': 1, 'to': 2, 'term': ['love']}, 'sentiment': 'POS'}, {'aspect': {'from': 34, 'to': 36, 'term': ['Dark', 'Blood']}, 'category': 'Book#General', 'opinion': {'from': 39, 'to': 40, 'term': ['excellent']}, 'sentiment': 'POS'}]"
39,The author gives you historical conext as well as modern analogies to really explain cancer to the layperson .,ACOS,"[{'aspect': {'from': 4, 'to': 6, 'term': ['historical', 'conext']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
40,"Incredible , essential reading if anyone in your life has been touched by cancer ( so ... that makes just about anyone on the planet today ) .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Incredible']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 2, 'to': 3, 'term': ['essential']}, 'sentiment': 'POS'}]"
41,"In this series , the characters are less likeable ( the protag was downright boring in Book Two ) and the plot plays one annoying note over and over again ( save the trees ! ) .",ACOS,"[{'aspect': {'from': 21, 'to': 22, 'term': ['plot']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}, {'aspect': {'from': 5, 'to': 6, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': 7, 'to': 9, 'term': ['less', 'likeable']}, 'sentiment': 'NEG'}]"
42,Sweden has left a clear picture in my mind .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Sweden']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
43,Another wonderful and insightful read,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['insightful']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 2, 'term': ['wonderful']}, 'sentiment': 'POS'}]"
44,Really makes you think differently about a topic so pervasive in everyone 's life that we do n't really like talking about .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
45,This is the first book by Cathy Glass that I bought and by far her best .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 15, 'to': 16, 'term': ['best']}, 'sentiment': 'POS'}]"
46,Enjoyable read .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Enjoyable']}, 'sentiment': 'POS'}]"
47,"While the historical elements were interesting , I was anxious for the novel to end long before it did .",ACOS,"[{'aspect': {'from': 12, 'to': 13, 'term': ['novel']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
48,The information presented jumped all over .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
49,"I am a huge fan of Robin Hobb , however , I did not think this book was her best work .",ACOS,"[{'aspect': {'from': 16, 'to': 17, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEU'}, {'aspect': {'from': 6, 'to': 8, 'term': ['Robin', 'Hobb']}, 'category': 'Book#Author', 'opinion': {'from': 3, 'to': 5, 'term': ['huge', 'fan']}, 'sentiment': 'POS'}]"
50,"Her fantasy works are 5 , but this series is a 3 .",ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['series']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEU'}, {'aspect': {'from': 1, 'to': 3, 'term': ['fantasy', 'works']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEU'}]"
51,Hard to read but a good look into CPS in England,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 5, 'to': 6, 'term': ['good']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
52,"If you like a complex plot with multiple murders and a lot of characters , this is one for you .",ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['plot']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
53,"Of course Pakistan sheltered Americas number one public enemy , Osama bin Laden , for years.Lamb fills in the details of a blundering policy that saw America drawn into a vortex of death and destruction .",ACOS,"[{'aspect': {'from': 19, 'to': 24, 'term': ['details', 'of', 'a', 'blundering', 'policy']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
54,"Again Camilla Lackberg is able to weave multiple stories from the past and present with drama , humor , and sensitivity .",ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['Camilla', 'Lackberg']}, 'category': 'Book#Author', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
55,It holds great insight to those that have the ability to give so much more than others .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#Quality', 'opinion': {'from': 2, 'to': 3, 'term': ['great']}, 'sentiment': 'POS'}]"
56,"As always , Decker/Lazarus novels are a good read .",ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 7, 'to': 8, 'term': ['good']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['Decker/Lazarus']}, 'category': 'Book#Author', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
57,The Emperor of all Maladies ( EM ) is more a history of cancer but the subtitle A Biography of Cancer was intelligently chosen as biography is less off-putting than history .,ACOS,"[{'aspect': {'from': 17, 'to': 21, 'term': ['A', 'Biography', 'of', 'Cancer']}, 'category': 'Book#Title', 'opinion': {'from': 22, 'to': 23, 'term': ['intelligently']}, 'sentiment': 'POS'}]"
58,Very illuminating .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Very', 'illuminating']}, 'sentiment': 'POS'}]"
59,ca n't say enough about Camilla Lackberg and her mysteries .,ACOS,"[{'aspect': {'from': 5, 'to': 7, 'term': ['Camilla', 'Lackberg']}, 'category': 'Book#Author', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 9, 'to': 10, 'term': ['mysteries']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
60,I admit to being hooked on McRae .,ACOS,"[{'aspect': {'from': 6, 'to': 7, 'term': ['McRae']}, 'category': 'Content#Characters', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
61,These young lady 's are very brave .,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['young', 'lady']}, 'category': 'Content#Characters', 'opinion': {'from': 5, 'to': 7, 'term': ['very', 'brave']}, 'sentiment': 'POS'}]"
62,Even though I truly enjoyed the 1st two books I can not in good faith advise anyone to invest the time in them with such a horrible conclusion .,ACOS,"[{'aspect': {'from': 6, 'to': 9, 'term': ['1st', 'two', 'books']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 5, 'term': ['truly', 'enjoyed']}, 'sentiment': 'POS'}, {'aspect': {'from': 22, 'to': 23, 'term': ['them']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
63,Ms. Hobb did a great job creating a connection to the characters for me and to be honest that is the only reason that I made it through this book .,ACOS,"[{'aspect': {'from': 11, 'to': 12, 'term': ['characters']}, 'category': 'Content#Characters', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
64,"This is a wonderful read , beautifully written .",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['wonderful']}, 'sentiment': 'POS'}, {'aspect': {'from': 4, 'to': 5, 'term': ['read']}, 'category': 'Book#Quality', 'opinion': {'from': 6, 'to': 7, 'term': ['beautifully']}, 'sentiment': 'POS'}]"
65,"This book , number 4 could be missed , read 1 , 2 , 3 , and start again with 5 .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
66,"It seemed hard to believe they would send 3 officers and a civilian to another state to show a picture to the parents of the possible victim of a decades old crime.Even though it was not a great book , it was a decent read and entertaining enough so that I will read the next installment in this series .",ACOS,"[{'aspect': {'from': 38, 'to': 39, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 35, 'to': 38, 'term': ['not', 'a', 'great']}, 'sentiment': 'NEU'}, {'aspect': {'from': 44, 'to': 45, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 46, 'to': 48, 'term': ['entertaining', 'enough']}, 'sentiment': 'POS'}, {'aspect': {'from': 44, 'to': 45, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': 43, 'to': 44, 'term': ['decent']}, 'sentiment': 'POS'}]"
67,"Love this book , love this series on DVD .",ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Love']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 9, 'term': ['series', 'on', 'DVD']}, 'category': 'Derivatives#General', 'opinion': {'from': 4, 'to': 5, 'term': ['love']}, 'sentiment': 'POS'}]"
68,This book was phenominal and well written .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 5, 'to': 6, 'term': ['well']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['phenominal']}, 'sentiment': 'POS'}]"
69,In The Alexander Cipher we have a pretty good example of the genre .,ACOS,"[{'aspect': {'from': 12, 'to': 13, 'term': ['genre']}, 'category': 'Content#Genre', 'opinion': {'from': 7, 'to': 9, 'term': ['pretty', 'good']}, 'sentiment': 'POS'}]"
70,I highly recommend reading it .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Book#General', 'opinion': {'from': 1, 'to': 3, 'term': ['highly', 'recommend']}, 'sentiment': 'POS'}]"
71,"Mukherjee , however , needed a better editor .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['editor']}, 'category': 'Book#Quality', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'NEG'}]"
72,Outlining the progress of identifying the underlying causes for Cancer and the race to find cure this turns out as an engrossing story / documented history .,ACOS,"[{'aspect': {'from': 22, 'to': 23, 'term': ['story']}, 'category': 'Content#Plot', 'opinion': {'from': 21, 'to': 22, 'term': ['engrossing']}, 'sentiment': 'POS'}]"
73,One of the best books I 've ever read .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['books']}, 'category': 'Book#General', 'opinion': {'from': 3, 'to': 4, 'term': ['best']}, 'sentiment': 'POS'}]"
74,"I get that most of it was for the reader 's sake , but again , it could have been shortened by a lot.Overall though , I did like the book and found the plot interesting .",ACOS,"[{'aspect': {'from': 34, 'to': 35, 'term': ['plot']}, 'category': 'Content#Plot', 'opinion': {'from': 35, 'to': 36, 'term': ['interesting']}, 'sentiment': 'POS'}, {'aspect': {'from': 30, 'to': 31, 'term': ['book']}, 'category': 'Book#General', 'opinion': {'from': 28, 'to': 29, 'term': ['like']}, 'sentiment': 'POS'}]"
75,"It is somewhat repetitive , but a doctor could read it in a week.I have read it for 12 days made it 1/2 way through and picked up another book to break up the 600 pages.I return to finish it next month .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Content#Plot', 'opinion': {'from': 3, 'to': 4, 'term': ['repetitive']}, 'sentiment': 'NEG'}]"
76,Following her mysteries are a certain 'Ca n't put the book down ' read .,ACOS,"[{'aspect': {'from': 13, 'to': 14, 'term': ['read']}, 'category': 'Book#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
