raw_words,task,quadruples
"fantastic , convenient , spotless !",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 4, 'to': 5, 'term': ['spotless']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 1, 'term': ['fantastic']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': 2, 'to': 3, 'term': ['convenient']}, 'sentiment': 'POS'}]"
"The location is tops , and the place is very large .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 3, 'to': 4, 'term': ['tops']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['place']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 9, 'to': 11, 'term': ['very', 'large']}, 'sentiment': 'POS'}]"
The only down side was the loft bed space which was a little claustrophobic and for older people like us ( ! ),ACOS,"[{'aspect': {'from': 6, 'to': 9, 'term': ['loft', 'bed', 'space']}, 'category': 'Rooms#Design_features', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"Nice , quiet spot close to the pond and good shops , while just 20 mins on the T if you 're looking to go downtown .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['spot']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Nice']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['spot']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['spot']}, 'category': 'Location#General', 'opinion': {'from': 2, 'to': 3, 'term': ['quiet']}, 'sentiment': 'POS'}]"
"Great location with T stops close by , and lovely Brookline to explore .",ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Great']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 9, 'to': 10, 'term': ['lovely']}, 'sentiment': 'POS'}]"
We felt safely all the time .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 2, 'to': 3, 'term': ['safely']}, 'sentiment': 'POS'}]"
George 's place was great !,ACOS,"[{'aspect': {'from': 0, 'to': 3, 'term': ['George', ""'s"", 'place']}, 'category': 'Hotel#General', 'opinion': {'from': 4, 'to': 5, 'term': ['great']}, 'sentiment': 'POS'}]"
The room was just as described and the neighborhood was quiet ... great find !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 12, 'to': 13, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 9, 'term': ['neighborhood']}, 'category': 'Location#General', 'opinion': {'from': 10, 'to': 11, 'term': ['quiet']}, 'sentiment': 'POS'}]"
"The room had all promised amenities , whatever toiletries I needed and was very clean .",ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['toiletries']}, 'category': 'Room_Amenities#Design_features', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 9, 'term': ['toiletries']}, 'category': 'Room_Amenities#Cleanliness', 'opinion': {'from': 13, 'to': 15, 'term': ['very', 'clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 5, 'to': 6, 'term': ['amenities']}, 'category': 'Room_Amenities#Design_features', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"It also does n't hurt that JFK used to live on the same floor , some cool history .",ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 16, 'to': 17, 'term': ['cool']}, 'sentiment': 'POS'}]"
It was definitely a good place to get a taste of local living rather than staying in an apartment .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 4, 'to': 5, 'term': ['good']}, 'sentiment': 'POS'}]"
Best value for my money .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['value']}, 'category': 'Hotel#Prices', 'opinion': {'from': 0, 'to': 1, 'term': ['Best']}, 'sentiment': 'POS'}]"
"House is perfect , clean and with all facilities .",ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['facilities']}, 'category': 'Facilities#Design_features', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['House']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 4, 'to': 5, 'term': ['clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['House']}, 'category': 'Hotel#General', 'opinion': {'from': 2, 'to': 3, 'term': ['perfect']}, 'sentiment': 'POS'}]"
Wonderfully accommodating host .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['host']}, 'category': 'Service#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Wonderfully', 'accommodating']}, 'sentiment': 'POS'}]"
"In short , our stay at this apartment was absolutely incredible .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['apartment']}, 'category': 'Hotel#General', 'opinion': {'from': 9, 'to': 11, 'term': ['absolutely', 'incredible']}, 'sentiment': 'POS'}]"
Todd kindly helped me to navigate everything and made this experience a truly positive one .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 12, 'to': 14, 'term': ['truly', 'positive']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Todd']}, 'category': 'Service#General', 'opinion': {'from': 1, 'to': 2, 'term': ['kindly']}, 'sentiment': 'POS'}]"
Perfetto,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Perfetto']}, 'sentiment': 'POS'}]"
Although we were not out too late at night we felt very safe walking back from the train .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': 11, 'to': 13, 'term': ['very', 'safe']}, 'sentiment': 'POS'}]"
You ca n't beat the location and her building has a roof deck that offers spectacular views of the city .,ACOS,"[{'aspect': {'from': 5, 'to': 6, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}, {'aspect': {'from': 16, 'to': 17, 'term': ['views']}, 'category': 'Location#General', 'opinion': {'from': 15, 'to': 16, 'term': ['spectacular']}, 'sentiment': 'POS'}]"
Very convenient location and the number keypads made check-in very easy .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Very', 'convenient']}, 'sentiment': 'POS'}, {'aspect': {'from': 5, 'to': 7, 'term': ['number', 'keypads']}, 'category': 'Service#General', 'opinion': {'from': 9, 'to': 11, 'term': ['very', 'easy']}, 'sentiment': 'POS'}]"
Very convenient for Fenway Park .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Very', 'convenient']}, 'sentiment': 'POS'}]"
Easy to access the subway to get downtown Boston .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Easy']}, 'sentiment': 'POS'}]"
I throughly enjoyed the view .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['view']}, 'category': 'Location#General', 'opinion': {'from': 1, 'to': 3, 'term': ['throughly', 'enjoyed']}, 'sentiment': 'POS'}]"
We loved going up onto the roof deck of the building and taking in the city and watching the sunset glow off of the State House - it was truly beautiful .,ACOS,"[{'aspect': {'from': 6, 'to': 8, 'term': ['roof', 'deck']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 1, 'to': 2, 'term': ['loved']}, 'sentiment': 'POS'}, {'aspect': {'from': 19, 'to': 26, 'term': ['sunset', 'glow', 'off', 'of', 'the', 'State', 'House']}, 'category': 'Location#General', 'opinion': {'from': 29, 'to': 31, 'term': ['truly', 'beautiful']}, 'sentiment': 'POS'}]"
He resounded to our contacts quickly .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Service#General', 'opinion': {'from': 5, 'to': 6, 'term': ['quickly']}, 'sentiment': 'POS'}]"
"Penny is a wonderful , helpful and friendly host .",ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Penny']}, 'category': 'Service#General', 'opinion': {'from': 7, 'to': 8, 'term': ['friendly']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Penny']}, 'category': 'Service#General', 'opinion': {'from': 3, 'to': 4, 'term': ['wonderful']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Penny']}, 'category': 'Service#General', 'opinion': {'from': 5, 'to': 6, 'term': ['helpful']}, 'sentiment': 'POS'}]"
The condo was exactly as described and perfectly located in Boston .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['condo']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 8, 'term': ['perfectly']}, 'sentiment': 'POS'}]"
So close to everything !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Spacious and in a great location .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 0, 'to': 1, 'term': ['Spacious']}, 'sentiment': 'POS'}, {'aspect': {'from': 5, 'to': 6, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 4, 'to': 5, 'term': ['great']}, 'sentiment': 'POS'}]"
Gloria was a wonderful host .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Gloria']}, 'category': 'Service#General', 'opinion': {'from': 3, 'to': 4, 'term': ['wonderful']}, 'sentiment': 'POS'}]"
We really enjoyed our stay here !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 1, 'to': 3, 'term': ['really', 'enjoyed']}, 'sentiment': 'POS'}]"
The stairs are a lot and a bit tricky so it might be difficult for people who are in bad physical shape or have some disability .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['stairs']}, 'category': 'Room_Amenities#Design_features', 'opinion': {'from': 7, 'to': 9, 'term': ['bit', 'tricky']}, 'sentiment': 'NEG'}, {'aspect': {'from': 1, 'to': 2, 'term': ['stairs']}, 'category': 'Room_Amenities#Design_features', 'opinion': {'from': 13, 'to': 14, 'term': ['difficult']}, 'sentiment': 'NEG'}]"
"Great and smart place , cleaned room , easy check-in .",ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 2, 'to': 3, 'term': ['smart']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 7, 'term': ['room']}, 'category': 'Rooms#Cleanliness', 'opinion': {'from': 5, 'to': 6, 'term': ['cleaned']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Great']}, 'sentiment': 'POS'}, {'aspect': {'from': 9, 'to': 10, 'term': ['check-in']}, 'category': 'Service#General', 'opinion': {'from': 8, 'to': 9, 'term': ['easy']}, 'sentiment': 'POS'}]"
"Plus if you 're there for tourism , Tiffany 's place is steps from the Freedom Trail , the Boston Commons and just far enough to walk off a cannoli or two from the North End .",ACOS,"[{'aspect': {'from': 8, 'to': 11, 'term': ['Tiffany', ""'s"", 'place']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Walk to the T and Boston Commons in less than 5 mins .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
The check-in process was very easy .,ACOS,"[{'aspect': {'from': 1, 'to': 3, 'term': ['check-in', 'process']}, 'category': 'Service#General', 'opinion': {'from': 4, 'to': 6, 'term': ['very', 'easy']}, 'sentiment': 'POS'}]"
"Area is safe and well lit , no frills in the unit but it is very clean and well appointed and a great value .",ACOS,"[{'aspect': {'from': 11, 'to': 12, 'term': ['unit']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 18, 'to': 19, 'term': ['well']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Area']}, 'category': 'Location#General', 'opinion': {'from': 2, 'to': 3, 'term': ['safe']}, 'sentiment': 'POS'}, {'aspect': {'from': 11, 'to': 12, 'term': ['unit']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 15, 'to': 17, 'term': ['very', 'clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 23, 'to': 24, 'term': ['value']}, 'category': 'Hotel#Prices', 'opinion': {'from': 22, 'to': 23, 'term': ['great']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Area']}, 'category': 'Location#General', 'opinion': {'from': 4, 'to': 5, 'term': ['well']}, 'sentiment': 'POS'}]"
Highly recommend her place .,ACOS,"[{'aspect': {'from': 3, 'to': 4, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Highly', 'recommend']}, 'sentiment': 'POS'}]"
The apartment itself is very cozy and quaint .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['apartment']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 7, 'to': 8, 'term': ['quaint']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['apartment']}, 'category': 'Hotel#Comfort', 'opinion': {'from': 4, 'to': 6, 'term': ['very', 'cozy']}, 'sentiment': 'POS'}]"
Their place is a convenient 15 min drive from central Boston and super close to the airport .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Location#General', 'opinion': {'from': 4, 'to': 5, 'term': ['convenient']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
The room looks out on a lovely quiet neighborhood .,ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['neighborhood']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 8, 'term': ['quiet']}, 'sentiment': 'POS'}, {'aspect': {'from': 8, 'to': 9, 'term': ['neighborhood']}, 'category': 'Location#General', 'opinion': {'from': 6, 'to': 7, 'term': ['lovely']}, 'sentiment': 'POS'}]"
"Gloria made the check in process extremely easy - she was kind enough to meet one of my roommates early at the coffee house across the street from the house so that she could give keys and a tour of the space , which was extremely appreciated .",ACOS,"[{'aspect': {'from': 3, 'to': 5, 'term': ['check', 'in']}, 'category': 'Service#General', 'opinion': {'from': 6, 'to': 8, 'term': ['extremely', 'easy']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Gloria']}, 'category': 'Service#General', 'opinion': {'from': 11, 'to': 12, 'term': ['kind']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Gloria']}, 'category': 'Service#General', 'opinion': {'from': 45, 'to': 47, 'term': ['extremely', 'appreciated']}, 'sentiment': 'POS'}]"
"We could n't have asked for a better hostess , or first Airbnb experience .",ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['hostess']}, 'category': 'Service#General', 'opinion': {'from': 7, 'to': 8, 'term': ['better']}, 'sentiment': 'POS'}, {'aspect': {'from': 12, 'to': 13, 'term': ['Airbnb']}, 'category': 'Service#General', 'opinion': {'from': 7, 'to': 8, 'term': ['better']}, 'sentiment': 'POS'}]"
The building is nice and the lofted space was neat .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['building']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 4, 'term': ['nice']}, 'sentiment': 'POS'}, {'aspect': {'from': 6, 'to': 8, 'term': ['lofted', 'space']}, 'category': 'Facilities#Comfort', 'opinion': {'from': 9, 'to': 10, 'term': ['neat']}, 'sentiment': 'POS'}]"
"The house itself is located on a quiet street that , although hidden from the hustle and bustle of Jamaica Plain , was somehow still in the thick of everything .",ACOS,"[{'aspect': {'from': 8, 'to': 9, 'term': ['street']}, 'category': 'Location#General', 'opinion': {'from': 7, 'to': 8, 'term': ['quiet']}, 'sentiment': 'POS'}]"
The bed was so comfortable and the area was quiet for being on such a popular street .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['bed']}, 'category': 'Rooms#Comfort', 'opinion': {'from': 3, 'to': 5, 'term': ['so', 'comfortable']}, 'sentiment': 'POS'}, {'aspect': {'from': 7, 'to': 8, 'term': ['area']}, 'category': 'Location#General', 'opinion': {'from': 9, 'to': 10, 'term': ['quiet']}, 'sentiment': 'POS'}, {'aspect': {'from': 16, 'to': 17, 'term': ['street']}, 'category': 'Location#General', 'opinion': {'from': 15, 'to': 16, 'term': ['popular']}, 'sentiment': 'POS'}]"
Tiffany 's place was perfectly located for what I needed .,ACOS,"[{'aspect': {'from': 0, 'to': 3, 'term': ['Tiffany', ""'s"", 'place']}, 'category': 'Location#General', 'opinion': {'from': 4, 'to': 5, 'term': ['perfectly']}, 'sentiment': 'POS'}]"
My wife and I were very comfortable .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 5, 'to': 7, 'term': ['very', 'comfortable']}, 'sentiment': 'POS'}]"
"Overall , we enjoyed staying at her place in Beacon Hill .",ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 3, 'to': 4, 'term': ['enjoyed']}, 'sentiment': 'POS'}]"
Fantastic location .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Fantastic']}, 'sentiment': 'POS'}]"
We really recommend this place .,ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 1, 'to': 3, 'term': ['really', 'recommend']}, 'sentiment': 'POS'}]"
The place was very clean and nicely furnished .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 3, 'to': 5, 'term': ['very', 'clean']}, 'sentiment': 'POS'}, {'aspect': {'from': 1, 'to': 2, 'term': ['place']}, 'category': 'Hotel#Design_features', 'opinion': {'from': 6, 'to': 7, 'term': ['nicely']}, 'sentiment': 'POS'}]"
The house was a short 10 min walk to airport station which brings you everywhere around Boston by taking the metros .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['house']}, 'category': 'Location#General', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
"Everything s perfectly the same as Penny describes and the same as In the picture , clean and comfortable Penny is really nice and gave me some suggestions for my visit In Boston .",ACOS,"[{'aspect': {'from': 19, 'to': 20, 'term': ['Penny']}, 'category': 'Service#General', 'opinion': {'from': 21, 'to': 23, 'term': ['really', 'nice']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 16, 'to': 17, 'term': ['clean']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#Comfort', 'opinion': {'from': 18, 'to': 19, 'term': ['comfortable']}, 'sentiment': 'POS'}, {'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 2, 'to': 3, 'term': ['perfectly']}, 'sentiment': 'POS'}]"
Slept like a log !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Rooms#Comfort', 'opinion': {'from': -1, 'to': -1, 'term': ['NULL']}, 'sentiment': 'POS'}]"
Definitely recommend .,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 2, 'term': ['Definitely', 'recommend']}, 'sentiment': 'POS'}]"
"Happy we found this place , ty",ACOS,"[{'aspect': {'from': 4, 'to': 5, 'term': ['place']}, 'category': 'Hotel#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Happy']}, 'sentiment': 'POS'}]"
Valeria and Jason were very kind hosts and very guestfriendly .,ACOS,"[{'aspect': {'from': 2, 'to': 3, 'term': ['Jason']}, 'category': 'Service#General', 'opinion': {'from': 8, 'to': 10, 'term': ['very', 'guestfriendly']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Valeria']}, 'category': 'Service#General', 'opinion': {'from': 8, 'to': 10, 'term': ['very', 'guestfriendly']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Valeria']}, 'category': 'Service#General', 'opinion': {'from': 4, 'to': 6, 'term': ['very', 'kind']}, 'sentiment': 'POS'}, {'aspect': {'from': 2, 'to': 3, 'term': ['Jason']}, 'category': 'Service#General', 'opinion': {'from': 4, 'to': 6, 'term': ['very', 'kind']}, 'sentiment': 'POS'}]"
The suggestions on where to eat and visit was spot on .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['suggestions']}, 'category': 'Service#General', 'opinion': {'from': 9, 'to': 11, 'term': ['spot', 'on']}, 'sentiment': 'POS'}]"
Location was excellent and being able to park our vehicle was a wonderful perk .,ACOS,"[{'aspect': {'from': 7, 'to': 8, 'term': ['park']}, 'category': 'Facilities#General', 'opinion': {'from': 12, 'to': 13, 'term': ['wonderful']}, 'sentiment': 'POS'}, {'aspect': {'from': 0, 'to': 1, 'term': ['Location']}, 'category': 'Location#General', 'opinion': {'from': 2, 'to': 3, 'term': ['excellent']}, 'sentiment': 'POS'}]"
We enjoyed our trip and would definitely be back !,ACOS,"[{'aspect': {'from': -1, 'to': -1, 'term': ['NULL']}, 'category': 'Hotel#General', 'opinion': {'from': 1, 'to': 2, 'term': ['enjoyed']}, 'sentiment': 'POS'}]"
Terry helped us out every time we needed it in terms of questions or problems .,ACOS,"[{'aspect': {'from': 0, 'to': 1, 'term': ['Terry']}, 'category': 'Service#General', 'opinion': {'from': 1, 'to': 2, 'term': ['helped']}, 'sentiment': 'POS'}]"
Good location to lots of fun things in Allston and the train .,ACOS,"[{'aspect': {'from': 1, 'to': 2, 'term': ['location']}, 'category': 'Location#General', 'opinion': {'from': 0, 'to': 1, 'term': ['Good']}, 'sentiment': 'POS'}]"
We appreciated the water in the room and the cleanliness of the whole house .,ACOS,"[{'aspect': {'from': 9, 'to': 10, 'term': ['cleanliness']}, 'category': 'Hotel#Cleanliness', 'opinion': {'from': 1, 'to': 2, 'term': ['appreciated']}, 'sentiment': 'POS'}, {'aspect': {'from': 3, 'to': 4, 'term': ['water']}, 'category': 'Room_Amenities#General', 'opinion': {'from': 1, 'to': 2, 'term': ['appreciated']}, 'sentiment': 'POS'}]"
